Historical ROI:	8.69%	Date range:	1991-04-03	2020-02-28
N	15	17	19	21	23	25	27	29
data_point	2561	1635	1382	1815	828	549	359	0
avg	0.0941	0.0868	0.0812	0.0793	0.0841	0.078	0.0753	
p50	0.0794	0.0783	0.0745	0.0688	0.0874	0.074	0.0767	
min	0.0269	0.0103	0.0297	0.0216	0.0339	0.0471	0.0431	
max	0.192	0.1895	0.193	0.1572	0.1389	0.1403	0.1199	
over_0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
over_2	1.0	0.9963	1.0	1.0	1.0	1.0	1.0	
over_4	0.9945	0.9376	0.8965	0.876	0.9855	1.0	1.0	
over_6	0.7911	0.6893	0.6628	0.6309	0.849	0.694	0.6045	
over_8	0.4893	0.4869	0.4291	0.4424	0.5713	0.4262	0.4318	
over_10	0.3514	0.3511	0.2945	0.3758	0.2319	0.1858	0.2117	
