Historical ROI:	11.9%	Date range:	2005-01-04	2020-02-28

N	10	11	12	13	14	15
data_point	699	580	439	399	272	23
avg	0.1095	0.1068	0.104	0.1253	0.1335	0.121
p50	0.0753	0.1087	0.1085	0.1343	0.1356	0.1213
min	0.0075	-0.0215	-0.0011	0.0599	0.1064	0.1183
max	0.3047	0.2241	0.1962	0.1686	0.1499	0.124
over_0	1.0	0.9121	0.9954	1.0	1.0	1.0
over_2	0.9285	0.8379	0.7585	1.0	1.0	1.0
over_4	0.7167	0.7345	0.7221	1.0	1.0	1.0
over_6	0.5851	0.6707	0.6538	0.9975	1.0	1.0
over_8	0.4764	0.6069	0.6196	0.9524	1.0	1.0
over_10	0.4177	0.5172	0.5421	0.6992	1.0	1.0
